,Качество (F1),Время (F2),Экономия (F3)
q1,0.8203945313026989,0.2575059049702194,0.22878061522771115
q2,0.3569869178630149,0.8152865534604062,0.0670562237011063
q3,0.7544667891592199,0.35123267107932166,0.16922676640664205
q4,0.017600480029897357,0.9377008638130738,0.10167370293994922
q5,0.2956611946941147,-0.23534689451466365,0.7766386930235842
q6,0.35498913706479385,0.2892422735712523,0.5661066875194727
q7,-0.03101400781830731,0.24783079953736264,0.7667701241873035
q8,0.9019921233588168,0.22584589905040553,0.06916709048987307
q9,0.9297068990653135,-0.0068918562723875474,0.14923691674793166
q10,0.9025678880923315,-0.09890291956037313,0.23139609567408007
q11,0.5533252868479165,0.30863463113119693,-0.3606489172116485
