,Фактор_1,Фактор_2,Фактор_3,Фактор_4,Фактор_5
"Порции в этом заведении достаточно большие, чтобы наесться [Усы лисы]",-0.15086467541551157,0.6306465540031421,-0.0009337146336011135,-0.22511217673690906,0.1496258577645782
"Порции в этом заведении достаточно большие, чтобы наесться [Столовая на БМ]",0.10698089235089749,-0.026947864380482932,0.19617233154435745,0.7701271414156141,0.32448454480342453
"Порции в этом заведении достаточно большие, чтобы наесться [Теремок]",0.06229743912660189,0.08476318765314389,0.8943613674262073,0.09961571657835715,0.14626870282125
"Порции в этом заведении достаточно большие, чтобы наесться [Евразия]",0.006455295381188385,-0.18042235178882002,0.5097360516034869,0.2620656745275904,0.44164713254724663
"Порции в этом заведении достаточно большие, чтобы наесться [Burger King в ТЦ Сенная]",0.7601651593283703,-0.22999149021991813,0.084366867103051,-0.14225542022995594,0.14799967455256285
"Порции в этом заведении достаточно большие, чтобы наесться [Rostic's в ТЦ Сенная]",0.7279757876841171,-0.2944550210229424,-0.03697127672221333,-0.17409377752043345,0.1764002176153734
"Порции в этом заведении достаточно большие, чтобы наесться [Вкусно - и точка в ПИКе]",0.4580436326781115,-0.12339592296275617,0.2134330675879639,-0.1946832337527483,0.34642807169041673
У меня есть уверенность в свежести и безопасности продуктов в этом месте [Усы лисы],-0.13629273672429293,0.4211287250364509,-0.14814630001992712,0.25727763161858835,0.1688502216136876
У меня есть уверенность в свежести и безопасности продуктов в этом месте [Столовая на БМ],0.05468109159814486,0.19719180561470043,-0.18646052141974997,0.5810104152205245,0.6597780368919103
У меня есть уверенность в свежести и безопасности продуктов в этом месте [Теремок],0.4223912889904243,-0.016640072656280192,0.5321981722659271,0.29611296666290815,0.4573945689870595
У меня есть уверенность в свежести и безопасности продуктов в этом месте [Евразия],0.3453492561131535,0.025531674971670148,0.2560330976625038,0.181222952445833,0.6862984958658495
У меня есть уверенность в свежести и безопасности продуктов в этом месте [Burger King в ТЦ Сенная],0.4646126063815427,-0.153527081278259,0.15731779065288892,0.007338918219108245,0.6584356546444924
У меня есть уверенность в свежести и безопасности продуктов в этом месте [Rostic's в ТЦ Сенная],0.49371225184380985,-0.23319893247700568,-0.014005936965690259,-0.042267021265185535,0.4415125513912662
У меня есть уверенность в свежести и безопасности продуктов в этом месте [Вкусно - и точка в ПИКе],0.4339129677239008,-0.10860522411491058,0.06649532372425285,-0.07340684026163602,0.6094236360363764
После обеда здесь чувство сытости сохраняется до конца учебного дня [Усы лисы],0.041169759852366865,0.688235330777988,0.1069491545876851,-0.12325966647405015,0.022812288649778256
После обеда здесь чувство сытости сохраняется до конца учебного дня [Столовая на БМ],0.1410564868620737,0.37132670703086945,0.1748711552494793,0.6393926310594014,0.07227068432447643
После обеда здесь чувство сытости сохраняется до конца учебного дня [Теремок],0.10490564571356467,0.3865427542853608,0.7919063650998911,-0.013713506638097417,0.0716100185772392
После обеда здесь чувство сытости сохраняется до конца учебного дня [Евразия],0.11991026659017213,0.32346067439798387,0.4525456101814931,0.038707027935596994,0.2666097551822459
После обеда здесь чувство сытости сохраняется до конца учебного дня [Burger King в ТЦ Сенная],0.36126071787639696,0.45622293741515446,0.2890646677736399,-0.19299838636770947,0.26580252591781034
После обеда здесь чувство сытости сохраняется до конца учебного дня [Rostic's в ТЦ Сенная],0.5006033203172988,0.34113400050358184,0.11318679349328424,-0.16458146550390915,0.11929235037214064
После обеда здесь чувство сытости сохраняется до конца учебного дня [Вкусно - и точка в ПИКе],0.4113685889759351,0.38632587440055316,0.19521111924697776,-0.22722744023092842,0.26362491171285946
В зале чистота и порядок [Усы лисы],-0.2442045096654868,0.5510793289979132,-0.07478338213322908,-0.13900926305372305,0.2941973790679109
В зале чистота и порядок [Столовая на БМ],0.4227351161601479,0.15870276568691796,-0.048525384822905214,0.15736491673817385,0.5231938496144791
В зале чистота и порядок [Теремок],0.5246556798533457,0.034690278183763794,0.4794998389587102,0.3216617933864124,0.4623706237200095
В зале чистота и порядок [Евразия],0.5054631689429266,0.05408373828595196,0.4397934745099686,0.19347027300852487,0.5626205483415531
В зале чистота и порядок [Burger King в ТЦ Сенная],0.1542368850890706,0.3547059441899655,-0.024718301737040357,0.0712994134071022,0.6380356712223795
В зале чистота и порядок [Rostic's в ТЦ Сенная],0.20549347744528593,0.275233120277292,-0.09864839274849184,0.005859713900387108,0.6659341463363359
В зале чистота и порядок [Вкусно - и точка в ПИКе],0.12900371874149064,0.288278160880709,-0.011981097280938612,0.11216313605293377,0.617967439333546
Время ожидания заказа обычно не превышает 10-15 минут [Усы лисы],0.2539072086185827,0.5507258012595116,0.0766498698975525,0.12083463647998748,0.45334731558376323
Время ожидания заказа обычно не превышает 10-15 минут [Столовая на БМ],0.5329600309714011,0.3528678092357891,0.3061226061409714,0.22789234035589914,0.24593853227884527
Время ожидания заказа обычно не превышает 10-15 минут [Теремок],-0.15511072322053648,0.21603550194147209,0.39378947492815264,0.05897848307310385,0.5738761177406887
Время ожидания заказа обычно не превышает 10-15 минут [Евразия],-0.31071429214179974,-0.1936699977896626,0.3803160450587802,-0.16797426968036824,0.3652653719738405
Время ожидания заказа обычно не превышает 10-15 минут [Burger King в ТЦ Сенная],0.4622713981013921,0.09160712188871215,0.1602714468587176,-0.12960492560745243,0.2483112940690565
Время ожидания заказа обычно не превышает 10-15 минут [Rostic's в ТЦ Сенная],0.3294034685586095,-0.07387151818150867,0.3367359954768706,-0.4603027693195011,-0.030137189075323534
Время ожидания заказа обычно не превышает 10-15 минут [Вкусно - и точка в ПИКе],0.1847032021992423,-0.022154815380818486,0.06256372725618099,-0.2103721263643992,0.590953891456067
"В этом заведении всегда быстрое обслуживание, даже в час-пик [Усы лисы]",-0.3030331938845024,0.25510658911421297,-0.33176162724639324,0.09282809096747044,0.4812684237062234
"В этом заведении всегда быстрое обслуживание, даже в час-пик [Столовая на БМ]",-0.01914530709187158,0.20610833499985828,0.11305411511552972,0.23024430885269165,0.5840032024351096
"В этом заведении всегда быстрое обслуживание, даже в час-пик [Теремок]",-0.0048437921684611265,0.23868110478781784,0.4292873071992463,0.143795646804078,0.5578796521102592
"В этом заведении всегда быстрое обслуживание, даже в час-пик [Евразия]",0.15829305532562588,0.04554386303843086,0.17619699915153167,-0.04095661948042109,0.7177985338457746
"В этом заведении всегда быстрое обслуживание, даже в час-пик [Burger King в ТЦ Сенная]",0.5400056931684069,0.1020077746539295,0.17256988180556979,-0.14342191901936346,0.30228072494931674
"В этом заведении всегда быстрое обслуживание, даже в час-пик [Rostic's в ТЦ Сенная]",0.4336972862467094,0.21853248908878267,0.1742517787861218,-0.33927471102376594,0.40930547026694286
"В этом заведении всегда быстрое обслуживание, даже в час-пик [Вкусно - и точка в ПИКе]",0.358026494645116,0.244189628553052,0.019021866921952194,0.015058068304797176,0.6856372550848787
Путь до заведения не занимает много времени [Усы лисы],-0.2675907356353016,0.7054657494638443,-0.14580664576908664,0.15479599757353102,0.008641518837177266
Путь до заведения не занимает много времени [Столовая на БМ],0.47554310231472496,0.07513894706899814,0.49267378070204376,0.020495164232939626,0.3128403270727786
Путь до заведения не занимает много времени [Теремок],0.09292399122270491,0.536816446074442,0.5213413958748918,0.03713572591396555,0.20737636116096958
Путь до заведения не занимает много времени [Евразия],0.10087441168549653,0.48773265676464567,0.5216704682393486,0.02327538045525645,0.08837731541943467
Путь до заведения не занимает много времени [Burger King в ТЦ Сенная],0.2075243857665057,0.5461038031384093,0.20344956096357886,0.3033512846089001,0.11626307653237945
Путь до заведения не занимает много времени [Rostic's в ТЦ Сенная],0.2075312791756167,0.5460553998483176,0.20348943602797362,0.30333138884898664,0.11625187776729956
