Заведение 1,Заведение 2,p-value,Значимо (α*)
Усы лисы,Теремок,0.016315176182415608,Нет
Усы лисы,Вкусно – и точка,0.0020170114989886074,Да
Усы лисы,Burger King,0.0007744295599175111,Да
Усы лисы,Столовая на БМ,0.0009553162273394715,Да
Усы лисы,Rostic's,0.0003996394415994498,Да
Усы лисы,Евразия,0.00027156114114548026,Да
Теремок,Вкусно – и точка,0.5430879295703531,Нет
Теремок,Burger King,0.8368054652778023,Нет
Теремок,Столовая на БМ,0.6805409005427876,Нет
Теремок,Rostic's,0.8366892409420645,Нет
Теремок,Евразия,0.23046355582715428,Нет
Вкусно – и точка,Burger King,0.6191355616962118,Нет
Вкусно – и точка,Столовая на БМ,0.3409056195261764,Нет
Вкусно – и точка,Rostic's,0.41557520777101997,Нет
Вкусно – и точка,Евразия,0.059567222241326136,Нет
Burger King,Столовая на БМ,0.3876953881530122,Нет
Burger King,Rostic's,0.9037475332889432,Нет
Burger King,Евразия,0.07689314162594432,Нет
Столовая на БМ,Rostic's,0.8291676212060661,Нет
Столовая на БМ,Евразия,0.5493720548992205,Нет
Rostic's,Евразия,0.24211922808045194,Нет
