,Среднее,Медиана,Мода,Дисперсия
"Порции в этом заведении достаточно большие, чтобы наесться [Усы лисы]",4.323,5.0,5.0,0.892
"Порции в этом заведении достаточно большие, чтобы наесться [Столовая на БМ]",3.129,3.0,2.0,1.849
"Порции в этом заведении достаточно большие, чтобы наесться [Теремок]",3.161,3.0,3.0,1.54
"Порции в этом заведении достаточно большие, чтобы наесться [Евразия]",3.161,3.0,3.0,1.273
"Порции в этом заведении достаточно большие, чтобы наесться [Burger King в ТЦ Сенная]",3.355,3.0,3.0,1.037
"Порции в этом заведении достаточно большие, чтобы наесться [Rostic's в ТЦ Сенная]",3.161,3.0,3.0,1.406
"Порции в этом заведении достаточно большие, чтобы наесться [Вкусно - и точка в ПИКе]",3.484,4.0,4.0,1.058
У меня есть уверенность в свежести и безопасности продуктов в этом месте [Усы лисы],3.548,4.0,4.0,1.189
У меня есть уверенность в свежести и безопасности продуктов в этом месте [Столовая на БМ],3.0,3.0,3.0,1.467
У меня есть уверенность в свежести и безопасности продуктов в этом месте [Теремок],4.129,4.0,4.0,0.916
У меня есть уверенность в свежести и безопасности продуктов в этом месте [Евразия],3.871,4.0,4.0,1.449
У меня есть уверенность в свежести и безопасности продуктов в этом месте [Burger King в ТЦ Сенная],3.355,3.0,4.0,1.037
У меня есть уверенность в свежести и безопасности продуктов в этом месте [Rostic's в ТЦ Сенная],3.258,3.0,4.0,1.131
У меня есть уверенность в свежести и безопасности продуктов в этом месте [Вкусно - и точка в ПИКе],3.355,4.0,4.0,1.103
После обеда здесь чувство сытости сохраняется до конца учебного дня [Усы лисы],3.677,4.0,5.0,2.026
После обеда здесь чувство сытости сохраняется до конца учебного дня [Столовая на БМ],2.968,3.0,4.0,1.966
После обеда здесь чувство сытости сохраняется до конца учебного дня [Теремок],3.129,3.0,3.0,1.716
После обеда здесь чувство сытости сохраняется до конца учебного дня [Евразия],3.129,3.0,3.0,1.649
После обеда здесь чувство сытости сохраняется до конца учебного дня [Burger King в ТЦ Сенная],3.032,3.0,4.0,1.566
После обеда здесь чувство сытости сохраняется до конца учебного дня [Rostic's в ТЦ Сенная],3.0,3.0,4.0,1.467
После обеда здесь чувство сытости сохраняется до конца учебного дня [Вкусно - и точка в ПИКе],3.194,3.0,4.0,1.561
В зале чистота и порядок [Усы лисы],3.0,3.0,4.0,1.333
В зале чистота и порядок [Столовая на БМ],3.387,4.0,4.0,1.445
В зале чистота и порядок [Теремок],4.323,5.0,5.0,0.892
В зале чистота и порядок [Евразия],4.194,5.0,5.0,1.295
В зале чистота и порядок [Burger King в ТЦ Сенная],2.677,3.0,3.0,1.159
В зале чистота и порядок [Rostic's в ТЦ Сенная],2.677,3.0,3.0,1.159
В зале чистота и порядок [Вкусно - и точка в ПИКе],2.774,3.0,3.0,1.314
Время ожидания заказа обычно не превышает 10-15 минут [Усы лисы],4.0,5.0,5.0,2.067
Время ожидания заказа обычно не превышает 10-15 минут [Столовая на БМ],4.516,5.0,5.0,0.858
Время ожидания заказа обычно не превышает 10-15 минут [Теремок],3.71,4.0,4.0,1.013
Время ожидания заказа обычно не превышает 10-15 минут [Евразия],2.968,3.0,3.0,1.566
Время ожидания заказа обычно не превышает 10-15 минут [Burger King в ТЦ Сенная],3.903,4.0,4.0,1.024
Время ожидания заказа обычно не превышает 10-15 минут [Rostic's в ТЦ Сенная],3.645,4.0,4.0,1.237
Время ожидания заказа обычно не превышает 10-15 минут [Вкусно - и точка в ПИКе],3.613,4.0,4.0,1.178
"В этом заведении всегда быстрое обслуживание, даже в час-пик [Усы лисы]",3.871,4.0,5.0,1.316
"В этом заведении всегда быстрое обслуживание, даже в час-пик [Столовая на БМ]",3.677,4.0,4.0,1.359
"В этом заведении всегда быстрое обслуживание, даже в час-пик [Теремок]",3.258,3.0,3.0,1.598
"В этом заведении всегда быстрое обслуживание, даже в час-пик [Евразия]",2.903,3.0,3.0,1.49
"В этом заведении всегда быстрое обслуживание, даже в час-пик [Burger King в ТЦ Сенная]",3.355,3.0,3.0,1.703
"В этом заведении всегда быстрое обслуживание, даже в час-пик [Rostic's в ТЦ Сенная]",3.161,3.0,3.0,1.74
"В этом заведении всегда быстрое обслуживание, даже в час-пик [Вкусно - и точка в ПИКе]",3.226,3.0,3.0,1.647
Путь до заведения не занимает много времени [Усы лисы],2.968,3.0,3.0,1.766
Путь до заведения не занимает много времени [Столовая на БМ],3.968,5.0,5.0,2.632
Путь до заведения не занимает много времени [Теремок],3.194,3.0,3.0,1.495
Путь до заведения не занимает много времени [Евразия],2.968,3.0,3.0,1.566
Путь до заведения не занимает много времени [Burger King в ТЦ Сенная],2.839,3.0,3.0,1.473
Путь до заведения не занимает много времени [Rostic's в ТЦ Сенная],2.839,3.0,3.0,1.473
Путь до заведения не занимает много времени [Вкусно - и точка в ПИКе],2.806,3.0,3.0,1.495
Цена блюд соответствуют их качеству [Усы лисы],4.645,5.0,5.0,0.437
Цена блюд соответствуют их качеству [Столовая на БМ],2.935,3.0,3.0,1.729
Цена блюд соответствуют их качеству [Теремок],3.29,3.0,3.0,1.68
Цена блюд соответствуют их качеству [Евразия],3.387,3.0,3.0,1.245
Цена блюд соответствуют их качеству [Burger King в ТЦ Сенная],3.452,3.0,3.0,0.789
