,"Порции в этом заведении достаточно большие, чтобы наесться [Усы лисы]","Порции в этом заведении достаточно большие, чтобы наесться [Столовая на БМ]","Порции в этом заведении достаточно большие, чтобы наесться [Теремок]","Порции в этом заведении достаточно большие, чтобы наесться [Евразия]","Порции в этом заведении достаточно большие, чтобы наесться [Burger King в ТЦ Сенная]","Порции в этом заведении достаточно большие, чтобы наесться [Rostic's в ТЦ Сенная]","Порции в этом заведении достаточно большие, чтобы наесться [Вкусно - и точка в ПИКе]",У меня есть уверенность в свежести и безопасности продуктов в этом месте [Усы лисы],У меня есть уверенность в свежести и безопасности продуктов в этом месте [Столовая на БМ],У меня есть уверенность в свежести и безопасности продуктов в этом месте [Теремок],У меня есть уверенность в свежести и безопасности продуктов в этом месте [Евразия],У меня есть уверенность в свежести и безопасности продуктов в этом месте [Burger King в ТЦ Сенная],У меня есть уверенность в свежести и безопасности продуктов в этом месте [Rostic's в ТЦ Сенная],У меня есть уверенность в свежести и безопасности продуктов в этом месте [Вкусно - и точка в ПИКе],После обеда здесь чувство сытости сохраняется до конца учебного дня [Усы лисы],После обеда здесь чувство сытости сохраняется до конца учебного дня [Столовая на БМ],После обеда здесь чувство сытости сохраняется до конца учебного дня [Теремок],После обеда здесь чувство сытости сохраняется до конца учебного дня [Евразия],После обеда здесь чувство сытости сохраняется до конца учебного дня [Burger King в ТЦ Сенная],После обеда здесь чувство сытости сохраняется до конца учебного дня [Rostic's в ТЦ Сенная],После обеда здесь чувство сытости сохраняется до конца учебного дня [Вкусно - и точка в ПИКе],В зале чистота и порядок [Усы лисы],В зале чистота и порядок [Столовая на БМ],В зале чистота и порядок [Теремок],В зале чистота и порядок [Евразия],В зале чистота и порядок [Burger King в ТЦ Сенная],В зале чистота и порядок [Rostic's в ТЦ Сенная],В зале чистота и порядок [Вкусно - и точка в ПИКе],Время ожидания заказа обычно не превышает 10-15 минут [Усы лисы],Время ожидания заказа обычно не превышает 10-15 минут [Столовая на БМ],Время ожидания заказа обычно не превышает 10-15 минут [Теремок],Время ожидания заказа обычно не превышает 10-15 минут [Евразия],Время ожидания заказа обычно не превышает 10-15 минут [Burger King в ТЦ Сенная],Время ожидания заказа обычно не превышает 10-15 минут [Rostic's в ТЦ Сенная],Время ожидания заказа обычно не превышает 10-15 минут [Вкусно - и точка в ПИКе],"В этом заведении всегда быстрое обслуживание, даже в час-пик [Усы лисы]","В этом заведении всегда быстрое обслуживание, даже в час-пик [Столовая на БМ]","В этом заведении всегда быстрое обслуживание, даже в час-пик [Теремок]","В этом заведении всегда быстрое обслуживание, даже в час-пик [Евразия]","В этом заведении всегда быстрое обслуживание, даже в час-пик [Burger King в ТЦ Сенная]","В этом заведении всегда быстрое обслуживание, даже в час-пик [Rostic's в ТЦ Сенная]","В этом заведении всегда быстрое обслуживание, даже в час-пик [Вкусно - и точка в ПИКе]",Путь до заведения не занимает много времени [Усы лисы],Путь до заведения не занимает много времени [Столовая на БМ],Путь до заведения не занимает много времени [Теремок],Путь до заведения не занимает много времени [Евразия],Путь до заведения не занимает много времени [Burger King в ТЦ Сенная],Путь до заведения не занимает много времени [Rostic's в ТЦ Сенная],Путь до заведения не занимает много времени [Вкусно - и точка в ПИКе],Цена блюд соответствуют их качеству [Усы лисы],Цена блюд соответствуют их качеству [Столовая на БМ],Цена блюд соответствуют их качеству [Теремок],Цена блюд соответствуют их качеству [Евразия],Цена блюд соответствуют их качеству [Burger King в ТЦ Сенная],Цена блюд соответствуют их качеству [Rostic's в ТЦ Сенная],Цена блюд соответствуют их качеству [Вкусно - и точка в ПИКе],Порции в заведении соответствуют цене [Усы лисы],Порции в заведении соответствуют цене [Столовая на БМ],Порции в заведении соответствуют цене [Теремок],Порции в заведении соответствуют цене [Евразия],Порции в заведении соответствуют цене [Burger King в ТЦ Сенная],Порции в заведении соответствуют цене [Rostic's в ТЦ Сенная],Порции в заведении соответствуют цене [Вкусно - и точка в ПИКе],В заведении выгодные цены [Усы лисы],В заведении выгодные цены [Столовая на БМ],В заведении выгодные цены [Теремок],В заведении выгодные цены [Евразия],В заведении выгодные цены [Burger King в ТЦ Сенная],В заведении выгодные цены [Rostic's в ТЦ Сенная],В заведении выгодные цены [Вкусно - и точка в ПИКе],"В заведении есть различные акции: комбо, ланчи, программа лояльности и пр. [Усы лисы]","В заведении есть различные акции: комбо, ланчи, программа лояльности и пр. [Столовая на БМ]","В заведении есть различные акции: комбо, ланчи, программа лояльности и пр. [Теремок]","В заведении есть различные акции: комбо, ланчи, программа лояльности и пр. [Евразия]","В заведении есть различные акции: комбо, ланчи, программа лояльности и пр. [Burger King в ТЦ Сенная]","В заведении есть различные акции: комбо, ланчи, программа лояльности и пр. [Rostic's в ТЦ Сенная]","В заведении есть различные акции: комбо, ланчи, программа лояльности и пр. [Вкусно - и точка в ПИКе]"
0,5.0,4.0,4.0,3.0,4.0,1.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,5.0,3.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,3.0,5.0,3.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,3.0,4.0,5.0,2.0,4.0,3.0,3.0,1.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,1.0,5.0,3.0,5.0,5.0,5.0
1,5.0,5.0,4.0,3.0,3.0,4.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,5.0,3.0,3.0,2.0,2.0,2.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,5.0,5.0,5.0
2,3.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,5.0,3.0,2.0,4.0,4.0,4.0,5.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,2.0,2.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0
3,4.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,2.0,2.0,3.0,4.0,4.0,5.0,5.0,3.0,2.0,5.0,5.0,5.0,2.0,5.0,4.0,4.0,2.0,2.0,2.0,5.0,1.0,2.0,3.0,4.0,4.0,4.0,5.0,1.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,1.0,3.0,5.0,4.0,4.0,4.0
4,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,5.0,5.0,4.0,4.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,5.0,5.0,2.0,3.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,5.0,5.0,4.0,2.0,2.0,2.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,3.0,4.0,3.0,3.0,3.0,5.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,5.0,5.0,5.0
5,4.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,5.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,1.0,4.0,3.0,3.0,5.0,4.0,2.0,2.0,3.0,3.0,3.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,2.0,3.0,3.0,3.0,5.0,5.0,2.0,2.0,3.0,3.0,3.0,5.0,4.0,1.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0
6,5.0,4.0,2.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,1.0,5.0,1.0,5.0,4.0,5.0,4.0,2.0,3.0,1.0,5.0,4.0,5.0,2.0,2.0,4.0,4.0,4.0,5.0,3.0,2.0,5.0,4.0,4.0,5.0,5.0,4.0,1.0,2.0,2.0,2.0,5.0,5.0,4.0,1.0,1.0,2.0,3.0,5.0,1.0,1.0,3.0,4.0,5.0,5.0,5.0
7,5.0,3.0,1.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,2.0,5.0,2.0,2.0,2.0,4.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,5.0,4.0,2.0,3.0,3.0,3.0,5.0,2.0,2.0,4.0,3.0,3.0,3.0,4.0,5.0,2.0,1.0,3.0,3.0,3.0,5.0,2.0,2.0,4.0,3.0,3.0,3.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,5.0,5.0,5.0
8,5.0,5.0,2.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,1.0,5.0,3.0,3.0,4.0,2.0,5.0,5.0,5.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,3.0,2.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,1.0,5.0,3.0,3.0,1.0,1.0,1.0,4.0,4.0,1.0,5.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0,2.0,3.0,4.0,5.0,4.0,1.0,1.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,5.0
9,4.0,2.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,3.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0
10,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0
